gnis_name,comid,centroid_longitude,centroid_latitude,date_acquired,predictions
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/01/05,2.9649000000000054
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/03/11,22.47567500000001
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/03/02,9.916316666451676
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/02/23,22.137733333333344
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/03/11,22.47567500000001
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/03/02,9.916316666451676
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/02/23,22.137733333333344
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/04/04,13.512287501455011
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/04/04,13.512287501455011
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/05/05,13.823145836468331
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/04/28,5.686081825189997
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/05/05,13.823145836468331
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/04/28,5.686081825189997
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/06/06,6.700299996090013
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/06/07,22.35200416769417
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/05/29,6.546800000120003
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/06/06,6.700299996090013
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/06/07,22.35200416769417
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/05/29,6.546800000120003
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/07/01,6.214274994195015
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/06/22,4.998750000190002
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/07/01,6.214274994195015
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/06/22,4.998750000190002
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/08/02,3.8683871205799942
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/07/24,4.332490001822504
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/08/01,3.740926730769228
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/07/25,4.226892434615379
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/08/02,3.8683871205799942
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/07/24,4.332490001822504
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/08/01,3.740926730769228
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/07/25,4.226892434615379
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/08/25,5.927533333858336
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/09/11,4.796456750000001
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/09/02,9.21565909033501
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/08/25,5.927533333858336
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/09/11,4.796456750000001
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/09/02,9.21565909033501
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/10/05,7.293029166641668
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/10/04,3.65769575
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/10/05,7.293029166641668
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/10/04,3.65769575
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/12/08,3.496117408846153
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/11/29,5.472464396786665
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/12/07,6.916030490333326
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/11/30,3.2617371507692274
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/11/21,12.609358333318326
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/12/08,3.496117408846153
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/11/29,5.472464396786665
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/12/07,6.916030490333326
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/11/30,3.2617371507692274
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2015/11/21,12.609358333318326
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2016/01/08,15.438500001399994
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2016/01/08,15.438500001399994
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2016/02/01,9.223499992035002
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2016/02/02,4.131666298076919
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2016/01/24,13.856033333618337
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2016/02/01,9.223499992035002
Pepacton Reservoir,1748473,-74.8706626158816,42.08825802412423,2016/02/02,4.131666298076919
